standard: Use JavaScript Standard Style (https://standardjs.com)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:145:10: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:145:44: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:146:10: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:147:5: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:149:10: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:149:49: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:150:10: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:150:47: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:151:10: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:152:5: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:154:10: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:155:5: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:158:5: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:26:3: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:39:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:40:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:41:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:42:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:43:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:44:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:45:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:46:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:47:10: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:51:3: 'createdUser1' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:58:3: 'createdUser2' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:66:20: 'createdUser1' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:66:34: 'createdUser2' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:75:3: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:83:47: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:84:36: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:88:3: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:96:3: 'updatedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:97:5: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:105:10: 'updatedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:106:10: 'updatedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:107:10: 'updatedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:111:3: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:119:3: 'deletedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:119:41: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:120:10: 'deletedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:120:38: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:121:10: 'deletedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:121:34: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:122:10: 'deletedUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:122:39: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\user.test.js:124:47: 'createdUser' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:21:3: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:36:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:37:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:38:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:39:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:40:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:41:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:42:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:43:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:44:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:45:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:46:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:47:10: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:51:3: 'createdVehicle1' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:64:3: 'createdVehicle2' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:78:23: 'createdVehicle1' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:78:40: 'createdVehicle2' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:87:3: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:101:56: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:102:35: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:106:3: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:120:3: 'updatedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:121:5: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:136:10: 'updatedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:137:10: 'updatedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:141:3: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:156:3: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:156:50: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:157:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:157:37: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:158:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:158:36: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:159:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:159:44: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:160:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:160:45: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:161:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:161:40: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:162:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:162:35: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:163:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:163:43: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:164:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:164:44: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:165:10: 'deletedVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:165:42: 'createdVehicle' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\vehicle.test.js:166:10: 'deletedVehicle' is not defined. (no-undef)
